央视台,#genre#
CGTN Spanish,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN Spanish,https://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8
CGTN Spanish,https://amg01314-cgtn-amg01314c3-rakuten-uk-1318.playouts.now.amagi.tv/cgtn-es-rakuten/playlist.m3u8
CGTN Spanish,https://dash4.antik.sk/live/test_cgtn_esp_tizen/playlist.m3u8
CGTN Spanish,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-espanol.m3u8
CGTN Spanish,https://h5cul1yar48um3t.wcetv.com/hls/cgtne.m3u8
CHC Action,http://39.134.19.68/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
CHC Home Theater,http://39.134.19.153/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/index.m3u8
CND Film Discovery Channel,http://125.210.152.18:9090/live/FXZL_750.m3u8
CND Film Middle School Channel,http://live2.rxip.sc96655.com/live/zxs_4000.m3u8?A=&E=&K=&P=&S=&U=
CND Film Middle School Channel,http://live-play.zxstv.com.cn/zhongxuesheng/zhongxuesheng.m3u8
Chifeng Comprehensive News Chanel,http://play1-qk.nmtv.cn/live/1735546697341033.m3u8
China Travel,https://fastlive.cctvplus.com/out/v1/ca6f9297b7314a63959435028af287fc/index.m3u8
China Travel,https://amg01314-amg01314c7-distrotv-us-10219.playouts.now.amagi.tv/playlist/amg01314-cgtn-cgtnchinatravel-distrotvus/playlist.m3u8
China Weather Channel,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
Chuzhou News Channel,http://live.cztv.cc:85/live/xwpd.m3u8
Chuzhou Public Channel,http://live.cztv.cc:85/live/ggpd.m3u8
Chuzhou Science & Education Channel,http://live.cztv.cc:85/live/sjpd.m3u8
Discovering China,https://fastlive.cctvplus.com/out/v1/8442c3bfd4c64a3984389328f6087879/index.m3u8
Discovering China,https://amg01314-amg01314c8-distrotv-us-10218.playouts.now.amagi.tv/playlist/amg01314-cgtn-cgtndiscoveringchina-distrotvus/playlist.m3u8
Documentary Humanities Channel,http://39.135.138.59:18890/PLTV/88888910/224/3221225655/index.m3u8
Dragon TV International,https://restream.pdtvhd.com/memfs/0b1b95c9-3543-4af9-9fdb-cf45f1602f17.m3u8
Dragon TV International,https://op-group1-swiftservesd-1.dens.tv/s/s29/index.m3u8
Dunhuang TV,http://117.156.28.119/270000001111/1110000028/index.m3u8
Fengshang Shopping Channel,http://183.207.248.71/cntv/live1/fengshanggw/fengshanggw
Fujian Comprehensive Channel,http://120.39.52.202:5140/%E7%A6%8F%E5%BB%BA%E7%BB%BC%E5%90%88
Golden Eagle Cartoon,http://1.24.190.98:10080/hls/51/index.m3u8
Golden Eagle Cartoon,http://223.110.241.149:6610/gitv/live1/G_JINYING/G_JINYING/1.m3u8
Golden Eagle Cartoon,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221226303/index.m3u8
Golden Eagle Cartoon,http://112.25.48.68/live/program/live/jykt/1300000/mnf.m3u8
Guangzhou TV,https://tencentplaybusiness.gztv.com/live/zonghes.m3u8
Guizhou TV,http://183.207.248.71/gitv/live1/G_GUIZHOU/G_GUIZHOU
Guizhou TV,http://223.110.245.149/ott.js.chinamobile.com/PLTV/3/224/3221225787/index.m3u8
Guizhou TV,http://125.210.152.18:9090/live/GZWSHD_H265.m3u8
Harbin Comprehensive News Channel,https://stream.hrbtv.net/xwzh/playlist.m3u8?_upt=ef41dd531755913594
Harbin Movie Channel,https://stream.hrbtv.net/yspd/playlist.m3u8
Hebei TV,https://event.pull.hebtv.com/live/live101.m3u8
Hebei TV,https://restream.pdtvhd.com/memfs/1db8c005-9365-4b32-94a4-3736987b5646.m3u8
Hebi News Channel,http://pili-live-hls.hebitv.com/hebi/hebi.m3u8
Heilongjiang TV,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221227492/index.m3u8
Heilongjiang TV,http://183.207.248.71/gitv/live1/G_HEILONGJIANG/G_HEILONGJIANG
Hezheng TV,http://117.156.28.119/270000001111/1110000149/index.m3u8
High Channel TV,http://117.156.28.119/270000001111/1110000146/index.m3u8
Hunan News Channel,http://35848.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_346.m3u8
Hunan Politics & Law Channel,http://35848.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_348.m3u8
